hour,day_of_week,weather,road_type,base_travel_time,traffic_level,travel_time
6,0,Sunny,Residential,5.83940689385702,MEDIUM,7.583150172434566
23,0,Cloudy,Main Road,10.85848196218904,MEDIUM,13.687654001522302
9,1,Rain,Residential,12.9725924092298,HIGH,24.232302108809275
4,5,Rain,Highway,15.339005161170093,LOW,14.231028419913374
21,3,Rain,Main Road,6.172102423811374,MEDIUM,9.085539413435423
22,3,Cloudy,Highway,12.497212360885028,LOW,13.58581823543049
22,1,Cloudy,Highway,19.059648739672728,MEDIUM,23.061528520783277
6,2,Rain,Highway,28.05565261278056,MEDIUM,34.237852652917844
8,3,Rain,Residential,20.073051124726895,HIGH,40.292379009244364
17,1,Cloudy,Highway,26.736846288113448,HIGH,43.528392219787634
23,0,Rain,Main Road,27.861032419389705,MEDIUM,41.64540082720449
10,6,Cloudy,Main Road,16.656261521140134,HIGH,27.53060055813935
23,3,Cloudy,Highway,14.267623035781462,LOW,15.892552105669308
8,4,Rain,Residential,23.00029844373056,HIGH,38.91751664749656
7,3,Rain,Residential,28.58661362619076,HIGH,53.67473189511651
23,3,Cloudy,Highway,23.31930592562547,LOW,24.928775526818242
17,5,Sunny,Residential,5.845593929117264,HIGH,10.566093894667652
13,1,Rain,Highway,6.699198541635566,LOW,7.644678653569681
20,5,Rain,Main Road,21.48210854974657,HIGH,33.751895352461226
17,2,Sunny,Residential,25.328930522847745,HIGH,48.78472194904441
3,0,Rain,Highway,11.024220807837704,LOW,11.997814347691543
2,2,Cloudy,Main Road,19.125054561199228,MEDIUM,23.170219139607863
20,6,Rain,Highway,7.337512635677736,MEDIUM,10.695579139674425
15,6,Cloudy,Residential,24.609407769752778,LOW,28.829006377786385
6,6,Rain,Residential,16.88750719113183,HIGH,25.910169860508443
1,1,Cloudy,Highway,29.036729746900146,LOW,27.302735280074188
2,2,Sunny,Residential,11.01180485760717,LOW,13.040630095062799
10,3,Rain,Highway,24.762452130853745,HIGH,39.11008134681635
3,3,Sunny,Highway,13.51481866187765,LOW,11.964634583505418
10,0,Rain,Main Road,24.588703474511554,HIGH,42.03650453960964
5,5,Rain,Residential,14.50181783841813,LOW,16.57008155957345
12,5,Rain,Highway,23.491382224414863,LOW,25.999050657433877
8,0,Sunny,Highway,9.68479458819693,MEDIUM,13.451309009437056
0,0,Cloudy,Residential,7.326606511496854,LOW,8.248457838068305
12,6,Sunny,Residential,27.528401121410827,MEDIUM,33.14468122044252
12,1,Sunny,Main Road,12.528281634376718,MEDIUM,15.312799450004766
13,2,Cloudy,Highway,14.028122807238201,MEDIUM,17.457277577341046
14,0,Sunny,Main Road,5.169184235636788,MEDIUM,6.606107450173831
10,3,Cloudy,Main Road,25.386886750075078,HIGH,44.52460082926047
22,1,Cloudy,Main Road,9.440931782978517,MEDIUM,12.650341407155539
18,6,Sunny,Main Road,14.401382558103677,HIGH,24.619729705812023
18,4,Sunny,Residential,24.190447693709125,HIGH,40.00210605414926
6,3,Cloudy,Residential,6.7289667984406565,MEDIUM,9.483877087015088
9,1,Cloudy,Residential,8.853580861396413,HIGH,14.812065234613732
18,3,Rain,Residential,28.087393850161167,HIGH,58.80617227446353
22,6,Rain,Residential,20.954509175271028,MEDIUM,28.765518513952298
1,4,Rain,Residential,21.16859015070232,MEDIUM,27.694676306941023
3,2,Sunny,Residential,23.671325690820396,LOW,26.134149819870675
11,3,Cloudy,Residential,19.71474891350368,MEDIUM,24.96074337236842
13,0,Sunny,Residential,8.541879420788707,MEDIUM,10.715230689809799
15,2,Cloudy,Highway,15.954148456825678,MEDIUM,19.38740910462259
3,0,Cloudy,Residential,7.734067044619346,MEDIUM,9.650900735702987
17,1,Cloudy,Residential,15.659234590542058,HIGH,27.540232160412216
21,3,Cloudy,Highway,23.43470923865343,LOW,26.905411696997415
6,1,Cloudy,Residential,25.21824471578152,MEDIUM,32.31168765827012
10,1,Cloudy,Highway,11.558834886309022,HIGH,18.845762196028442
19,3,Rain,Highway,13.69811593591886,HIGH,26.157004651625044
9,4,Rain,Highway,21.802752042924567,MEDIUM,32.65878133961887
4,4,Cloudy,Main Road,19.910645436098292,LOW,22.243903970749017
20,1,Rain,Highway,17.24105065480522,MEDIUM,25.472811652423417
11,0,Cloudy,Highway,9.87821229085623,LOW,11.047571997382205
15,3,Rain,Main Road,17.21748779849214,MEDIUM,22.670630784219348
8,1,Rain,Main Road,9.205224435914342,HIGH,17.188578733377177
3,4,Sunny,Main Road,24.37782569659989,LOW,27.315326605471316
1,6,Rain,Main Road,18.658831868049113,MEDIUM,24.674015950085057
1,3,Cloudy,Main Road,26.554990637438106,LOW,28.590646443972577
6,6,Rain,Residential,22.22833967779406,HIGH,33.50079518522466
6,6,Sunny,Residential,13.770386973820774,LOW,16.449262070020666
9,4,Cloudy,Residential,29.637207556544855,HIGH,54.67931833276501
1,2,Rain,Highway,22.53566318491079,LOW,21.5069254775726
21,3,Cloudy,Highway,19.435638232604035,LOW,21.912290562689282
2,3,Rain,Residential,11.955642196294592,MEDIUM,16.22793321540187
0,6,Rain,Highway,23.273298437176326,LOW,22.351029483579822
6,3,Sunny,Main Road,11.713420957860563,MEDIUM,15.440877360744828
18,6,Cloudy,Main Road,27.3538664509639,HIGH,47.93680790984308
5,3,Cloudy,Highway,29.795955970516754,LOW,28.942636126018915
9,1,Cloudy,Highway,21.364699110469854,MEDIUM,27.821395542666963
12,5,Cloudy,Residential,22.48603428811434,LOW,26.514684869601883
4,4,Sunny,Residential,21.999568128039478,LOW,24.30129908002995
13,5,Sunny,Main Road,6.770707635012803,LOW,7.273065832921677
9,1,Cloudy,Highway,21.039403712924596,HIGH,32.26451750759559
5,3,Cloudy,Residential,10.32638628558815,MEDIUM,12.593300195459653
6,0,Sunny,Highway,23.81114116369881,LOW,27.8848199064796
10,6,Sunny,Highway,11.924191423621135,LOW,13.84058766740433
22,0,Rain,Main Road,10.13614295381105,MEDIUM,14.582559552636072
7,3,Cloudy,Highway,11.027043890130246,MEDIUM,15.576764431616537
11,2,Sunny,Main Road,26.520350098418685,MEDIUM,34.34557304650918
15,6,Sunny,Highway,19.684087423148114,LOW,19.217355624713456
12,4,Cloudy,Residential,22.815726902531264,MEDIUM,32.407320144467384
17,4,Sunny,Main Road,7.089926844445408,HIGH,11.686637386453942
4,4,Cloudy,Main Road,19.660929075310797,LOW,22.4681068369103
13,5,Sunny,Highway,11.111993842984138,LOW,11.641929427114173
21,5,Rain,Residential,9.391147591069899,MEDIUM,11.929702147662221
16,6,Rain,Main Road,9.17407385480952,MEDIUM,12.09284949589453
0,2,Cloudy,Main Road,18.09635528621673,LOW,20.310946017883033
16,2,Sunny,Main Road,26.48399456718678,MEDIUM,32.39814103781457
18,5,Rain,Highway,10.710110578831276,HIGH,18.79106373097168
12,1,Sunny,Highway,18.82161971239661,LOW,21.471437525554254
10,1,Cloudy,Residential,12.998378439109391,HIGH,23.758062867367276
1,1,Sunny,Residential,29.535346598537373,LOW,33.004801621449126
9,6,Cloudy,Main Road,7.1596380608326555,HIGH,11.449469894327853
7,3,Cloudy,Residential,29.29644362877322,HIGH,57.06776642805519
7,1,Sunny,Main Road,5.59775639940011,HIGH,9.302074393876063
0,2,Sunny,Residential,14.40687076170109,LOW,15.650511760729989
7,3,Cloudy,Highway,29.313980899184806,MEDIUM,38.26998142586294
16,3,Rain,Main Road,16.461450713603718,HIGH,25.51295169765059
12,0,Rain,Residential,6.557071587998954,HIGH,9.873129687813776
12,5,Rain,Main Road,12.951442981652516,MEDIUM,17.656860334790515
4,0,Sunny,Main Road,16.651377810916543,LOW,18.337677985453347
6,3,Cloudy,Main Road,11.625198172867705,MEDIUM,15.198454037106488
22,4,Sunny,Highway,25.898118774699658,LOW,27.634541559306008
11,3,Rain,Highway,21.929584424726794,MEDIUM,30.095257410693915
14,4,Rain,Residential,11.246315705538777,MEDIUM,16.517555103207783
7,1,Sunny,Main Road,14.305993595399942,HIGH,24.03846837656779
8,6,Sunny,Highway,29.929035653261845,LOW,33.70408411316072
10,0,Sunny,Main Road,6.265942522881403,HIGH,11.294579298576176
15,0,Cloudy,Residential,15.666600460709482,MEDIUM,21.115005310061335
4,0,Rain,Residential,20.42442911226019,MEDIUM,27.83575550362887
2,2,Cloudy,Highway,15.480870529908277,LOW,15.961342733567518
17,6,Sunny,Main Road,24.547894171135624,HIGH,39.30404447983483
16,2,Cloudy,Main Road,9.49539684244673,MEDIUM,12.888402933916465
1,6,Cloudy,Residential,13.935822316788538,LOW,14.269676156499202
17,6,Rain,Highway,24.101243092937775,HIGH,47.75166197038463
5,1,Sunny,Residential,12.950109207296785,LOW,14.695093410608237
22,5,Cloudy,Residential,19.09016216957984,MEDIUM,26.382811529850827
9,1,Cloudy,Highway,7.256434421272571,MEDIUM,9.306050195440879
19,1,Sunny,Main Road,22.923440817270404,HIGH,42.829890021173604
0,1,Rain,Residential,27.930603687027965,HIGH,42.314563882196786
11,5,Rain,Main Road,19.650416579289768,MEDIUM,29.028496028775
20,3,Rain,Main Road,9.355066773888266,HIGH,19.247099024434434
7,5,Rain,Highway,14.459602703679954,HIGH,23.59678841977095
18,3,Rain,Highway,9.552043900338685,HIGH,16.547363386328417
3,3,Sunny,Main Road,23.633583202549563,LOW,24.60340329761526
2,6,Rain,Residential,20.977567197621973,LOW,23.87899894818887
8,6,Sunny,Residential,5.032028937367248,HIGH,7.9847588024715535
15,3,Cloudy,Residential,14.383689258513703,MEDIUM,21.38684169078679
